Fecha,Hora,Temperatura (°C),Humedad (%)
2025-10-17,10:19:15,20.2,45.4
2025-10-17,10:19:17,20.2,45.1
2025-10-17,10:19:19,20.2,45.1
2025-10-17,10:19:21,20.2,45.3
2025-10-17,10:19:23,20.2,45.6
2025-10-17,10:19:25,20.2,45.6
2025-10-17,10:19:27,20.2,45.7
2025-10-17,10:19:29,20.2,45.6
2025-10-17,10:19:31,20.2,45.6
2025-10-17,10:19:33,20.2,45.5
2025-10-17,10:19:35,20.2,45.3
2025-10-17,10:19:37,20.2,45.2
2025-10-17,10:19:39,20.2,45.1
2025-10-17,10:19:42,20.2,45.1
2025-10-17,10:19:44,20.2,45.0
2025-10-17,10:19:46,20.3,45.1
2025-10-17,10:19:48,20.2,45.1
2025-10-17,10:19:50,20.2,45.0
2025-10-17,10:19:52,20.2,45.0
2025-10-17,10:19:54,20.2,45.0
2025-10-17,10:19:56,20.2,45.1
2025-10-17,10:19:58,20.3,45.2
2025-10-17,10:20:00,20.3,45.2
2025-10-17,10:20:02,20.3,45.1
2025-10-17,10:20:04,20.2,45.1
2025-10-17,10:20:06,20.3,45.1
2025-10-17,10:20:08,20.3,45.0
2025-10-17,10:20:10,20.3,44.9
2025-10-17,10:20:12,20.3,44.8
2025-10-17,10:20:14,20.3,44.7
2025-10-17,10:20:16,20.3,44.7
2025-10-17,10:20:18,20.3,44.7
2025-10-17,10:20:20,20.3,44.7
2025-10-17,10:20:22,20.3,44.8
2025-10-17,10:20:24,20.3,45.0
2025-10-17,10:20:26,20.3,44.9
2025-10-17,10:20:28,20.3,44.9
2025-10-17,10:20:30,20.3,44.9
2025-10-17,10:20:32,20.3,44.8
2025-10-17,10:20:34,20.3,44.8
2025-10-17,10:20:36,20.3,44.8
2025-10-17,10:20:38,20.3,44.8
2025-10-17,10:20:40,20.3,44.8
2025-10-17,10:20:43,20.3,44.8
2025-10-17,10:20:45,20.3,44.8
2025-10-17,10:20:47,20.3,44.9
2025-10-17,10:20:49,20.3,44.9
2025-10-17,10:20:51,20.3,45.0
2025-10-17,10:20:53,20.3,45.1
2025-10-17,10:20:55,20.3,45.2
2025-10-17,10:20:57,20.4,45.3
2025-10-17,10:20:59,20.4,45.4
2025-10-17,10:21:01,20.4,45.4
2025-10-17,10:21:03,20.4,45.4
2025-10-17,10:21:05,20.4,45.4
2025-10-17,10:21:07,20.4,45.5
2025-10-17,10:21:09,20.4,45.6
2025-10-17,10:21:11,20.4,45.5
2025-10-17,10:21:13,20.4,45.5
2025-10-17,10:21:15,20.4,45.5
2025-10-17,10:21:17,20.4,45.5
2025-10-17,10:21:19,20.4,45.5
2025-10-17,10:21:21,20.4,45.5
2025-10-17,10:21:23,20.4,45.5
2025-10-17,10:21:25,20.4,45.6
2025-10-17,10:21:27,20.4,45.5
2025-10-17,10:21:29,20.4,45.5
2025-10-17,10:21:31,20.4,45.4
2025-10-17,10:21:33,20.4,45.4
2025-10-17,10:21:35,20.4,45.3
2025-10-17,10:21:37,20.4,45.2
2025-10-17,10:21:39,20.4,45.1
2025-10-17,10:21:41,20.4,45.0
2025-10-17,10:21:43,20.4,44.9
2025-10-17,10:21:46,20.4,44.8
2025-10-17,10:21:48,20.4,44.8
2025-10-17,10:21:50,20.4,44.7
2025-10-17,10:21:52,20.4,44.6
2025-10-17,10:21:54,20.4,44.6
2025-10-17,10:21:56,20.4,44.5
2025-10-17,10:21:58,20.4,44.5
2025-10-17,10:22:00,20.4,44.5
2025-10-17,10:22:02,20.4,44.5
2025-10-17,10:22:04,20.4,44.5
2025-10-17,10:22:06,20.4,44.5
2025-10-17,10:22:08,20.4,44.4
2025-10-17,10:22:10,20.4,44.4
2025-10-17,10:22:12,20.4,44.4
2025-10-17,10:22:14,20.4,44.3
2025-10-17,10:22:16,20.4,44.3
2025-10-17,10:22:18,20.4,44.3
2025-10-17,10:22:20,20.4,44.2
2025-10-17,10:22:22,20.4,44.2
2025-10-17,10:22:24,20.4,44.2
2025-10-17,10:22:27,20.4,44.2
2025-10-17,10:22:29,20.4,44.2
2025-10-17,10:22:31,20.4,44.2
2025-10-17,10:22:33,20.4,44.2
2025-10-17,10:22:35,20.4,44.3
2025-10-17,10:22:37,20.4,44.2
2025-10-17,10:22:39,20.4,44.2
2025-10-17,10:22:41,20.4,44.2
